label,requirement,enriched_domain_tags,enriched_stakeholder,enriched_complexity_level,enriched_action_type
O,The maintenance of the product will fall within the established corporate maintenance windows.,"['Maintenance', 'Corporate Policies', 'Scheduling']",Admin,Low,Other
O,The product shall be supported using the corporate support center.,"['Support', 'Corporate Policies', 'Troubleshooting']",User,Low,Read
O,Product installations and upgrades shall be handled by the middleware technology team within established launch time frames.,"['Installation', 'Upgrades', 'Middleware']",Admin,Medium,Create
SE,Only adjusters can request recycled parts audit reports. No users without an adjuster role shall request recycled parts audits.,"['Access Control', 'Recycled Parts', 'Audit Reports']",Security,Medium,Read
SE,Only adjusters with a supervisor role can update preferred repair facility ratings. Users without the supervisor role cannot access the repair facility ratings.,"['Access Control', 'Repair Facilities', 'Rating Systems']",Security,Medium,Update
SE,Only collision estimators shall search for recycled parts.  Users without the collision estimator role shall not have access to the search for recycled parts.,"['Access Control', 'Recycled Parts', 'Estimation']",Security,Medium,Read
SE,Only valid data shall be entered into the system.  No invalid data shall be entered into the system.,"['Data Validation', 'Data Integrity', 'System Security']",Security,Low,Create
SE,One insurance company shall not be able to view another insurance companys claim data.,"['Insurance Claims', 'Data Access Control', 'Company Privacy']",Insurance Company,Medium,Read
SE,The product shall free of computer viruses.,"['Software Security', 'Malware Protection', 'Product Quality']",Security,High,Other
SE,The system shall prevent malicious attacks including denial of service.,"['System Security', 'Network Protection', 'Denial of Service']",Security,High,Other
L,The product must comply with Sarbanes-Oxley.,"['Regulatory Compliance', 'Financial Regulations', 'Corporate Governance']",Legal,Medium,Other
L,The product shall comply with the estimatics laws relating to recycled parts usage.,"['Environmental Regulations', 'Recycled Parts', 'Estimatics Laws']",Legal,Medium,Other
L,The product shall comply with insurance regulations regarding claims processing.,"['Insurance Regulations', 'Claims Processing', 'Regulatory Compliance']",Insurance Company,Medium,Other
F,The user shall search for the preferred repair facility using vehicle  vehicle location  and radius in miles,"['User Interface', 'Search Functionality', 'Location-based Services']",User,Low,Read
F,The vehicle data shall include vehicle year  make  and model,"['Vehicle Data', 'Data Storage', 'Vehicle Information']",User,Low,Create
F,The vehicle location shall include street address  city  state  and zipcode,"['Vehicle Location', 'Address Data', 'Geographic Information']",User,Low,Create
F,The system shall resolve the zipcode for the street address  city  and state if zipcode is unknown.,"['Geolocation', 'Address Validation', 'Data Enrichment']",User,Medium,Update
F,The search radius shall be between 1 and 30 miles,"['Search Configuration', 'Geolocation', 'Settings']",Admin,Low,Create
F,The system shall locate the preferred repair facility with the highest ratings for the input criteria,"['Facility Management', 'Rating System', 'Search']",User,High,Read
F,The adjuster shall enter the preferred repair facility on the estimate assignment.,"['Estimate Management', 'Facility Assignment', 'Adjuster Workflow']",Adjuster,Medium,Create
F,The adjuster shall be able to override the preferred repair facitlity on the estimate assignment.,"['Estimate Management', 'Facility Assignment', 'Override Mechanism']",Adjuster,Medium,Update
F,The preferred repair facility shall be returned to the user.,"['Facility Management', 'Search Results', 'User Interface']",User,Low,Read
F,The system shall return a list of repair facilities within the radius if the preferred repair facility cannot be determined.,"['Facility Management', 'Search Results', 'Fallback Mechanism']",User,High,Read
F,The estimator shall search for available recycled parts using damaged vehicle parts information.,"['Parts Management', 'Recycled Parts', 'Estimator Workflow']",Estimator,Medium,Read
F,The estimator shall search for available recycled parts using a list of preferred parts suppliers.,"['Parts Management', 'Recycled Parts', 'Supplier Management']",Estimator,Medium,Read
F,The system shall search for available recycled parts for the supplied vehicle parts and suppliers.,"['Parts Management', 'Recycled Parts', 'Search']",User,High,Read
F,The estimator shall search by zipcode with a radius of 30 miles if no parts are found for the preferred parts suppliers,"['Estimation', 'Parts Sourcing', 'Geolocation']",Estimator,Medium,Search
F,The system shall retain the available recycled parts and suppliers returned from the search.,"['Data Storage', 'Recycled Parts', 'Search Results']",System,Low,Create
F,The available recycled parts information and their suppliers shall be returned to the user.,"['User Interface', 'Recycled Parts', 'Information Retrieval']",User,Medium,Read
F,The estimator shall apply selected recycled parts to the collision estimate.,"['Estimation', 'Recycled Parts', 'Collision Repair']",Estimator,High,Update
F,The estimator shall not apply recycled parts to the collision estimate if no available parts are returned.,"['Estimation', 'Recycled Parts', 'Collision Repair']",Estimator,Medium,Other
F,The adjuster shall review the collision estimate.,"['Quality Assurance', 'Collision Repair', 'Estimation Review']",Adjuster,Low,Read
F,The adjuster shall request a recycled parts audit of the collision estimate.,"['Audit and Compliance', 'Recycled Parts', 'Collision Repair']",Adjuster,Medium,Create
F,The recycled parts search results provided to the estimator shall be retrieved by the system.,"['Search Results', 'Recycled Parts', 'System Retrieval']",System,Low,Read
F,The system shall generate an audit report based on the available recycled parts and the collision estimate.,"['Reporting', 'Audit and Compliance', 'Recycled Parts']",System,High,Create
F,The audit report shall include the total number of recycled parts used in the estimate.,"['Reporting', 'Recycled Parts', 'Estimation Metrics']",Auditor,Medium,Update
F,The audit report shall include the number of available recycled parts from the original search results.,"['Recycled Parts', 'Audit Report', 'Search Results']",User,Medium,Read
F,The audit report shall include the percentage of available recycled parts used in the estimate,"['Recycled Parts', 'Audit Report', 'Estimate']",User,Medium,Read
F,The audit report shall include the total score of the audit which sums the indivual line items.,"['Audit Report', 'Score', 'Line Items']",User,Medium,Read
F,The audit report shall be displayed to the user.,"['Audit Report', 'User Interface', 'Display']",User,Low,Read
F,The audit report shall be available to other adjusters at later points in time.,"['Audit Report', 'Accessibility', 'Adjusters']",Adjuster,Low,Read
F,The user shall select to view the preferred repair facility ratings.,"['User Interface', 'Repair Facility', 'Ratings']",User,Low,Read
F,The current repair facility ratings shall be displayed to the user.,"['Repair Facility', 'Ratings', 'Display']",User,Low,Read
F,The system will display a blank set of ratings if there are not ratings yet defined.,"['System Function', 'Ratings', 'Display']",User,Low,Read
F,The user shall enter new ratings based on the audit report,"['User Input', 'Ratings', 'Audit Report']",User,Medium,Create
F,The ratings shall be from a scale of 1-10,"['Ratings', 'Scaling', 'Validation']",User,Low,Other
F,The ratings shall include categories for attempted use of recycled parts and actual use of recycled parts,"['Sustainability', 'Recycling', 'Rating System']",User,Medium,Create
F,The user shall select to save the preferred repair facility ratings.,"['User Interface', 'Settings', 'Repair Facility']",User,Low,Update
F,The preferred repair facility ratings shall be saved by the system.,"['System Functionality', 'Data Storage', 'Repair Facility']",System,Low,Create
O,The product must work with most database management systems (DBMS) on the market  whether the DBMS is colocated with the product on the same machine or is located on a different machine on the computer network.,"['Database Integration', 'System Compatibility', 'DBMS']",Admin,High,Other
O,The product will function alongside server software on any operating system where the Java runtime can be installed.,"['Server Software', 'Java Runtime', 'Operating System']",Admin,High,Other
O,The product will require collaboration with a database management system (DBMS).  The DBMS may be located on the same machine as the product or on a separate machine residing on the same computer network.,"['Database Integration', 'System Collaboration', 'DBMS']",Admin,High,Other
O,The product must make use of web/application server technology.  Open source examples include Apache web server  Tomcat  and the JBoss application server.,"['Web Server', 'Application Server', 'Server Technology']",Admin,High,Create
O,A database management system such as Oracle  DB2  MySql or HSQL will need to be integrated with the product.,"['Database Integration', 'DBMS Options', 'System Compatibility']",Admin,High,Other
LF,The product�s Look and Feel shall be able to incorporate aspects of the customer�s organization such as logo  branding  and identity,"['User Interface', 'Branding', 'Customization']",User,Medium,Update
LF,The product shall have a conservative and professional appearance.,"['User Interface', 'Design', 'Professionalism']",User,Low,Create
US,The product shall make the users want to use it. 80% of the users surveyed report they are regularly using the product after the first 2 weeks post-launch.,"['User Engagement', 'Product Adoption', 'Customer Satisfaction']",User,High,Other
US,The product shall be easy to use. 90% of users will be able to successfully reserve a conference room within 5 minutes of product use.,"['Usability', 'User Experience', 'Conference Management']",User,Medium,Create
US,The product shall give users feedback when necessary. 80% of the users surveyed report that the product accurately confirms their actions.,"['User Feedback', ' Interaction Design', 'Usability']",User,Medium,Read
US,The product shall allow the user to select a chosen language from one of the target market countries.,"['Internationalization', 'Localization', 'User Preferences']",User,Low,Update
US,The product shall allow for customization of start page and views preferences.,"['Personalization', 'User Interface', 'Customization']",User,Low,Update
US,An employee will be able to successfully use the product within a few minutes.  After informally navigating the product for less than 15 minutes  users shall be able to successfully setup meetings and reserve conference rooms.,"['Onboarding', 'User Experience', 'Conference Management']",User,Medium,Create
US,The product shall use a standard navigation menu familiar to most web users.,"['User Interface', 'Navigation', 'Usability']",User,Low,Read
US,The product shall allow for intuitive searching of available conference rooms.,"['Search Functionality', 'Conference Management', 'User Experience']",User,Medium,Read
US,The product shall conform to the Americans with Disabilities Act.,"['Accessibility', 'Compliance', 'Regulatory Requirements']",Legal,High,Other
PE,The response shall be fast enough to avoid interrupting the user�s flow of thought.  90% of tasks shall complete within 5 seconds.  98% of tasks shall complete within 8 seconds.,"['Performance', 'Response Time', 'User Experience']",User,High,Other
A,Aside from server failure  the software product shall achieve 99.99% up time.,"['High Availability', 'System Reliability', 'Uptime']",User,High,Other
FT,The product shall create an exception log of problems encountered within the product for transmission to our company for analysis and resolution.,"['Error Handling', 'Logging', 'Debugging']",Admin,Medium,Create
SC,The product shall be capable of handling up to 1 000 concurrent requests.  This number will increase to 2 000 by Release 2.  The concurrency capacity must be able to handle peak scheduling times such as early morning and late afternoon hours.,"['Concurrency', 'Scalability', 'Performance']",User,High,Other
SC,The product shall be able to process 10 000 transactions per hour within two years of its launch.  This number will increase to 20 000 by Release 2.,"['Performance', 'Throughput', 'Scalability']",User,High,Other
SC,The product shall be expected to operate for at least 5 years for each customer installation.,"['Lifespan', 'Maintenance', 'Durability']",User,Low,Other
O,The product shall be used in office environments.,"['Office Software', 'Productivity', 'Business Applications']",User,Low,Other
O,The product must be able to interface with any HTML browser.  The product shall transmit data between the user and the product without problems. The product shall display HTML properly in 80% of all HTML browsers tested (minimum is to test 8 browsers).,"['Browser Compatibility', 'Interoperability', 'Web Standards']",User,Medium,Read
O,The product must be able to interface with various database management systems. The product shall communicate successfully with the database management system on 100% of all transactions.,"['Database Integration', 'Interoperability', 'Data Management']",Admin,High,Read
O,The product must be able to interface with various email servers. The product shall be able to send email.,"['Email Integration', 'Notification', 'Communication']",User,Medium,Create
O,The product shall be available for distribution via the Internet as a binary or ZIP file.,"['Software Distribution', 'Digital Delivery', 'Installation']",Admin,Low,Other
O,The product shall be available for distribution as a packaged CD.,"['Distribution', 'Packaging', 'Media']",Admin,Low,Create
O,The product will be available for licensing as a one-server  two-five servers  or five-or-more servers license.,"['Licensing', 'Pricing', 'Servers']",Legal,Medium,Create
US,A new user must be able to be added to the system within 10 minutes.  90% of new users are able to log into the system within 10 minutes.,"['User Management', 'Onboarding', 'Performance']",User,Medium,Create
MN,The product must be designed using Design Patterns and coding best practices.  90% of maintenance software developers are able to integrate new functionality into the product with 2 working days.,"['Software Development', 'Maintenance', 'Design Patterns']",Security,High,Update
MN,The product must be highly configurable for use with various database management systems for the end users.  80% of end users are able to integrate new database management systems with the product without changing the product�s software code.,"['Database Management', 'Configurability', 'Interoperability']",User,High,Update
MN,Maintenance releases will be offered to customers once a year.  The releases shall take no longer than 5 minutes for 80% of the customer base to install.,"['Maintenance', 'Releases', 'Installation']",Admin,Medium,Update
US,Every registered user will have access to the product�s support site via the Internet.  70% of registered users shall find a solution to their problem within 5 minutes of using the support site.,"['Support', 'Self-Service', 'User Experience']",User,Medium,Read
MN,The customer shall be able to easily integrate new building maps with the product throughout the product�s lifecycle.  Integration of new maps with the product shall be possible with little to no support from product support staff.,"['Integration', 'Maps', 'Lifecycle']",User,Medium,Update
US,The product shall be translated into foreign languages other than the target market countries� languages in future releases.  For each emerging target market  it shall take no more than 5 days to configure the product for that market�s language.,"['Localization', 'Translation', 'Internationalization']",Admin,High,Update
O,The product is expected to integrate with multiple database management systems.  The product will operate with Oracle  SQL Server  DB2  MySQL  HSQL  and MS Access.,"['Database Management', 'Interoperability', 'Compatibility']",User,High,Other
O,The product shall be able to be installed in any operating environment within 2 days.,"['Installation', 'Operating Environment', 'Deployment']",Admin,Medium,Create
SE,The product shall ensure that only company employees or external users with company-approved user IDs may have product access.  100% of all logons shall be by either company employees or external users with company-approved user IDs.,"['Security', 'Access Control', 'Authentication']",Security,High,Read
SE,Only managers are able to perform search queries for reservations by user.  100% of all search queries for reservations by user shall be from logons of only management logons.,"['Authorization', 'Search Queries', 'Reservations']",User,Medium,Read
SE,The product shall ensure that the database�s data corresponds to the data entered by the user.  Each conference room reservation in the system will contain the same information as was entered by the user.,"['Data Integrity', 'Database', 'Validation']",User,High,Create
SE,The product shall prevent the input of malicious data.  The product and/or adjacent hardware/software systems� data shall remain 100% uncorrupted each time malicious data is input into the product.,"['Security', 'Data Validation', 'Malicious Data']",Security,High,Other
FT,The product and/or dependent databases/filesystems shall remain operational as a result of the input of malicious data.  The product and/or dependent databases/filesystems shall not crash 100% of the time that malicious data is input into the product.,"['Reliability', 'Fault Tolerance', 'Malicious Data']",Security,High,Other
SE,The product shall have the ability to receive automatic software updates as new threats emerge.  100% of customers will be able to receive automatic software updates transmitted to the installed product.,"['Maintenance', 'Software Updates', 'Security']",Admin,Medium,Update
SC,The language of the product shall accommodate all of the target market countries. 90% of survey respondents from each target market country will find that the language of the product is acceptable.,"['Internationalization', 'Localization', 'Language Support']",User,Medium,Create
US,The product shall be able to display calendar dates and times according to the user�s locale.  90% of survey respondents from each target market country will find that the date and time formatting of the product is correct.,"['Localization', 'Date and Time Formatting', 'Internationalization']",User,Low,Read
O,The product must be developed with the J2SE/J2EE programming language libraries,"['Development', 'Programming Languages', 'Technologies']",Developer,Low,Other
F,The product shall record meeting entries.,"['Meeting Management', 'Record Keeping', 'Product Functionality']",User,Low,Create
F,The product will notify employees of meeting invitations.,"['Meeting Management', 'Notification System', 'Employee Communication']",User,Medium,Other
F,The product shall have the ability to send meeting reminders to employees.,"['Meeting Management', 'Reminder System', 'Employee Communication']",User,Medium,Other
F,The product shall assign the organizers contact information to each meeting they create.,"['Meeting Management', 'Contact Information', 'Meeting Organization']",User,Medium,Create
F,The product will record meeting acknowledgements.,"['Meeting Management', 'Record Keeping', 'Meeting Response']",User,Low,Create
F,The product shall store new conference rooms.,"['Conference Room Management', 'Room Inventory', 'Product Functionality']",Admin,Low,Create
F,The product shall update existing conference rooms.,"['Conference Room Management', 'Room Inventory', 'Product Functionality']",Admin,Low,Update
F,The product will be able to delete conference rooms.,"['Conference Room Management', 'Room Inventory', 'Product Functionality']",Admin,Low,Delete
F,The product shall be able to store new room equipment.,"['Room Equipment Management', 'Equipment Inventory', 'Product Functionality']",Admin,Low,Create
F,The product will update existing room equipment.,"['Room Equipment Management', 'Equipment Inventory', 'Product Functionality']",Admin,Low,Update
F,The product shall be able to delete room equipment.,"['Equipment Management', 'Room Management', 'Product Functionality']",Admin,Low,Delete
F,The product shall allow an organizer to invite other employees to meetings.,"['Meeting Management', 'User Management', 'Communication']",User,Medium,Create
F,Each time a conference room is reserved  the conference room schedule shall be updated to reflect the time and date of the reservation.,"['Conference Room Management', 'Scheduling', 'Reservation']",User,Medium,Update
F,The product shall record the transportation status of equipment reserved.,"['Equipment Management', 'Reservation', 'Logistics']",Admin,Medium,Create
F,The product shall display a map of the company building showing conference room locations.,"['Company Infrastructure', 'Conference Room Management', 'Visualization']",User,High,Read
F,The product shall record updated meeting agendas.,"['Meeting Management', 'Agenda Management', 'Documentation']",User,Low,Update
F,The product shall send a meeting confirmation to the meeting organizer.,"['Meeting Management', 'Communication', 'Notification']",User,Medium,Create
F,The product shall display room equipment according to search parameters.,"['Equipment Management', 'Search Functionality', 'Room Management']",User,Medium,Read
F,The product shall display conference rooms according to search parameters.,"['Conference Room Management', 'Search Functionality', 'Room Management']",User,Medium,Read
F,The product shall record different meeting types.,"['Meeting Management', 'Meeting Types', 'Documentation']",Admin,Low,Create
F,The product shall record all the equipment that has been reserved.,"['Equipment Management', 'Reservation System', 'Asset Tracking']",Admin,Low,Create
F,The product shall notify building personnel of equipment transport requests.,"['Notification System', 'Equipment Transport', 'Facility Management']",Building Personnel,Medium,Notify
F,The product will allow priviledged users to view meeting schedules in multiple reporting views.,"['Meeting Management', 'Reporting Analytics', 'User Authentication']",User,Medium,Read
F,The product shall be able to send meeting notifications via different kinds of end-user specified methods.,"['Notification System', 'Meeting Management', 'User Preference']",User,High,Send
F,The product shall have a customizable Look and Feel.,"['User Experience', 'Customization', 'User Interface']",User,High,Update
F,The product shall have an intuitive user interface.,"['User Experience', 'User Interface', 'Usability']",User,High,Other
F,The product will display an available status for unreserved conference rooms.,"['Meeting Management', 'Room Scheduling', 'Availability Tracking']",User,Low,Read
PE,Recreation of Inventory Quantity Adjustment for the period of previous 30 days shall take no more than 30min.,"['Inventory Management', 'Performance Optimization', 'Data Processing']",Admin,High,Update
PE,The System shall allow for a minimum of  6 users to work at the same time.,"['System Capacity', 'Concurrent Users', 'Scalability']",Admin,Medium,Other
O,The System shall utilize currently owned computer equipment.,"['Hardware Utilization', 'Resource Optimization', 'IT Assets']",Admin,Low,Other
O,The System shall be able to automatically backup business data and restore them on demand.,"['Data Management', 'Backup and Recovery', 'Business Continuity']",Admin,Medium,Create
SE,The System shall maintain consistent security.  Any changes in user passwords and/or permissions should take affect in all parts of the System.,"['Security', 'Access Control', 'User Management']",Security,High,Update
SE,The System shall granularly control access rights to all major subsystems.  It should be possible to assign access rights to all subsystems independently.,"['Access Control', 'Security', 'System Administration']",Admin,High,Create
L,The System shall meet all applicable accounting standards.  The final version of the System must successfully pass independent audit performed by a certified auditor.,"['Accounting', 'Compliance', 'Audit']",Legal,High,Other
O,The System shall not require additional third party licenses resulting in royalty fees.,"['Licensing', 'Cost Management', 'Intellectual Property']",Admin,Low,Other
